game_id,game_date,team_name,venue,batting_avg,earn_run_ave,game_outcome,game_number,visiting_team,home_team
43560-LAD@COL-1,4/5/2019,Colorado Rockies,Home,0.294,9,lose,1,Los Angeles Dodgers,Colorado Rockies
43560-MIA@ATL-1,4/5/2019,Atlanta Braves,Home,0.226,0,win,1,Miami Marlins,Atlanta Braves
43560-MIA@ATL-1,4/5/2019,Miami Marlins,Road,0.111,4.5,lose,1,Miami Marlins,Atlanta Braves
43560-MIN@PHI-1,4/5/2019,Philadelphia Phillies,Home,0.333,3,win,1,Minnesota Twins,Philadelphia Phillies
43560-MIN@PHI-1,4/5/2019,Minnesota Twins,Road,0.289,9,lose,1,Minnesota Twins,Philadelphia Phillies
43560-OAK@HOU-1,4/5/2019,Houston Astros,Home,0.281,2,win,1,Oakland Athletics,Houston Astros
43560-OAK@HOU-1,4/5/2019,Oakland Athletics,Road,0.212,3.38,lose,1,Oakland Athletics,Houston Astros
43560-SDP@STL-1,4/5/2019,San Diego Padres,Road,0.257,3,win,1,San Diego Padres,St. Louis Cardinals
43560-SDP@STL-1,4/5/2019,St. Louis Cardinals,Home,0.129,5,lose,1,San Diego Padres,St. Louis Cardinals
43560-SEA@CHW-1,4/5/2019,Chicago White Sox,Home,0.265,8,win,1,Seattle Mariners,Chicago White Sox
43560-SEA@CHW-1,4/5/2019,Seattle Mariners,Road,0.257,9,lose,1,Seattle Mariners,Chicago White Sox
43560-TBR@SFG-1,4/5/2019,Tampa Bay Rays,Road,0.289,2,win,1,Tampa Bay Rays,San Francisco Giants
